playerID	nameFirst	nameLast	debut	finalGame		
questjo01	Joe	Quest	1871-08-30	1886-07-13		
berryto01	Tom	Berry	1871-09-02	1871-09-02		
fleetfr01	Frank	Fleet	1871-10-18	1875-10-09		
prattto01	Tom	Pratt	1871-10-18	1871-10-18		
abercda01	Frank	Abercrombie	1871-10-21	1871-10-21		
brannmi01	Mike	Brannock	1871-10-21	1875-08-28		
berkena01	Nate	Berkenstock	1871-10-30	1871-10-30		
hurledi01	Dick	Hurley	1872-04-18	1872-04-23		
reachbo01	Bob	Reach	1872-04-18	1873-10-23		
doylejo01	Jacob	Doyle	1872-04-20	1872-05-25		
hinespa01	Paul	Hines	1872-04-20	1891-07-03		
holliho01	Holly	Hollingshead	1872-04-20	1875-06-09		
studlse01	Sy	Studley	1872-04-20	1872-05-08		
yeatmbi01	Bill	Yeatman	1872-04-20	1872-04-20		
boydbi01	Bill	Boyd	1872-04-22	1875-10-09		
cummica01	Candy	Cummings	1872-04-22	1877-08-18		
hicksna01	Nat	Hicks	1872-04-22	1877-06-05		
bielaos01	Oscar	Bielaski	1872-04-24	1876-08-21		
arnolbi01	Billy	Arnold	1872-04-26	1872-05-02		
bentlcy01	Cy	Bentley	1872-04-26	1872-08-09		
boothed01	Eddie	Booth	1872-04-26	1876-10-17		
buttefr01	Frank	Buttery	1872-04-26	1872-07-27		
clappjo01	John	Clapp	1872-04-26	1883-09-28		
martiph01	Phonney	Martin	1872-04-26	1873-10-21		
mccarfr01	Frank	McCarton	1872-04-26	1872-08-05		
murnati01	Tim	Murnane	1872-04-26	1884-10-19		
orourji01	Jim	O'Rourke	1872-04-26	9/22/1904		
tippeji01	Jim	Tipper	1872-04-26	1875-10-28		
allenha01	Ham	Allen	1872-04-27	1872-08-09		
coughde01	Dennis	Coughlin	1872-04-27	1872-06-26		
gedneco01	Count	Gedney	1872-04-27	1875-10-29		
rogerfr01	Fraley	Rogers	1872-04-30	1873-07-16		
robinva01	Val	Robinson	1872-05-01	1872-05-24		
barloto01	Tom	Barlow	1872-05-02	1875-07-30		
brittji01	Jim	Britt	1872-05-02	1873-11-01		
burdoja01	Jack	Burdock	1872-05-02	1891-07-23		
dehlmhe01	Herman	Dehlman	1872-05-02	1877-09-08		
fieldge01	George	Fields	1872-05-02	1872-08-09		
kennejo01	John	Kenney	1872-05-02	1872-05-20		
mcdonja01	Jack	McDonald	1872-05-02	1872-08-14		
remseja01	Jack	Remsen	1872-05-02	1884-10-15		
allisan01	Andy	Allison	1872-05-07	1872-10-21		
galvijo01	John	Galvin	1872-05-07	1872-05-07		
huntdi01	Dick	Hunt	1872-05-07	1872-07-09		
leutz01	David	Lenz	1872-05-07	1872-05-21		
martial01	Al	Martin	1872-05-07	1875-09-25		
snydeji01	Jim	Snyder	1872-05-07	1872-10-05		
swandma01	Marty	Swandell	1872-05-07	1873-08-07		
holdsji01	Jim	Holdsworth	1872-05-14	1884-06-09		
clintji01	Jim	Clinton	1872-05-18	1886-07-15		
snydejo01	Josh	Snyder	1872-05-18	1872-07-09		
hallji01	Jim	Hall	1872-05-20	1874-05-15		
allisbi01	Bill	Allison	1872-05-21	1872-07-04		
spenc01		Spencer	1872-06-03	1872-06-03		
nelsoca01	Candy	Nelson	1872-06-11	1890-08-25		
thakeal01	Al	Thake	1872-06-13	1872-08-28		
besti01	William	Bestick	1872-06-20	1872-07-09		
malonma01	Martin	Malone	1872-06-20	1872-09-13		
fletcge01	George	Fletcher	1872-06-21	1872-06-22		
millejo01	Joe	Miller	1872-06-26	1875-07-28		
jewetna01	Nat	Jewett	1872-07-04	1872-07-06		
orour01		O'Rourke	1872-07-09	1872-07-09		
worthhe01	Herb	Worth	1872-07-29	1872-07-29		
brownol01	Oliver	Brown	1872-08-01	1875-08-26		
mulle01	Martin	Mullen	1872-08-17	1872-08-17		
doschhe01	Herm	Doscher	1872-09-05	1882-08-04		
kavan01	James	Cavanagh	1872-09-11	1872-09-19		
clarede01	Denny	Clare	1872-09-14	1872-09-16		
barre01	John	Barrett	1872-09-18	1872-10-31		
higby01		Higby	1872-09-18	1872-09-18		
lowech01	Charlie	Lowe	1872-09-24	1872-10-31		
donnejo01	John	Donnelly	1873-04-14	1874-10-30		
eland01	Frederick	Ehlen	1873-04-14	1873-04-14		
frencbi01	Bill	French	1873-04-14	1873-06-30		
kernajo01	Joe	Kernan	1873-04-14	1873-04-15		
mcdoo01		McDoolan	1873-04-14	1873-04-14		
saylo01	Lou	Say	1873-04-14	1884-10-19		
smithbi01	Bill	Smith	1873-04-14	1873-07-11		
smithjo01	John	Smith	1873-04-14	1875-05-21		
woodhre01	Red	Woodhead	1873-04-15	1879-09-10		
devliji01	Jim	Devlin	1873-04-21	1877-10-06		
mannija01	Jack	Manning	1873-04-23	1886-10-14		
austihe01	Henry	Austin	1873-04-28	1873-08-07		
campbhu01	Hugh	Campbell	1873-04-28	1873-07-23		
campbmi02	Michael	Campbell	1873-04-28	1873-07-23		
farrojo01	John	Farrow	1873-04-28	1884-06-14		
laughbe01	Ben	Laughlin	1873-04-28	1873-08-07		
wordsfa01	Favel	Wordsworth	1873-04-28	1873-08-07		
nevinal01	Al	Nevin	1873-05-06	1873-07-23		
johnsto01	Tommy	Johns	1873-05-14	1873-05-14		
jones01	Levin	Jones	1873-05-14	1874-10-14		
simpsma01	Marty	Simpson	1873-05-14	1873-07-11		
strated01	Ed	Stratton	1873-05-14	1873-07-11		
cranefr01	Fred	Crane	1873-05-26	1875-06-23		
snydepo01	Pop	Snyder	1873-06-16	1891-07-04		
hoopemi01	Mike	Hooper	1873-06-27	1873-07-11		
sheppjo01	John	Sheppard	1873-06-27	1873-07-11		
popplge01	George	Popplein	1873-07-11	1873-07-11		
kesslhe01	Henry	Kessler	1873-08-04	1877-06-16		
lovetle01	Len	Lovett	1873-08-04	1875-05-19		
ryanjo01	Johnny	Ryan	1873-08-19	1877-07-12		
greasjo01	John	Greason	1873-08-27	1873-09-06		
gerhajo01	Joe	Gerhardt	1873-09-01	1891-04-29		
wallho01	Howard	Wall	1873-09-13	1873-09-13		
atkined01	Ed	Atkinson	1873-10-22	1873-10-23		
bondto01	Tommy	Bond	1874-05-05	1884-08-11		
chapmja01	Jack	Chapman	1874-05-05	1876-08-08		
barnibi01	Billy	Barnie	1874-05-07	1886-06-28		
clackbo01	Bobby	Clack	1874-05-13	1876-10-09		
knowdja01	Jake	Knodell	1874-05-15	1878-08-17		
westbi01	Billy	West	1874-05-22	1876-09-09		
peterjo01	John	Peters	1874-05-23	1884-06-11		
shaffor01	Orator	Shafer	1874-05-23	1890-09-13		
collida01	Dan	Collins	1874-06-08	1876-08-19		
gaver01		McGovern	1874-06-15	1874-06-15		
connete01	Terry	Connell	1874-06-20	1874-06-20		
bradyst01	Steve	Brady	1874-07-23	1886-10-05		
brown01	Robert	Brown	1874-07-29	1874-08-31		
ledwimi01	Mike	Ledwith	1874-08-19	1874-08-19		
reedhu01	Hugh	Reid	1874-08-26	1874-08-26		
boardfr01	Frederick	Boardman	1874-08-29	1874-08-29		
gilro01	Henry	Gilroy	1874-09-07	1875-09-03		
quinl01		Quinlan	1874-09-07	1874-09-07		
carlle01	John	Carl	1874-09-09	1874-09-09		
tayloza01	Z. H.	Taylor	1874-09-10	1874-10-14		
mcgeepa01	Pat	McGee	1874-09-24	1875-09-17		
wood01		Wood	1874-09-30	1874-09-30		
snowch01	Charlie	Snow	1874-10-01	1874-10-01		
smilebi01	Bill	Smiley	1874-10-13	1882-09-30		
revilhe01	Henry	Reville	1874-10-14	1874-10-14		
geerbi01	Billy	Geer	1874-10-15	1885-05-10		
oneal01	Fancy	O'Neil	1874-10-23	1874-10-23		
milleto01	Tom	Miller	1874-10-24	1875-10-29		
farreja01	Jack	Farrell	1874-10-27	1874-10-30		
banckst01	Studs	Bancker	1875-04-19	1875-06-05		
lathaju01	Jumbo	Latham	1875-04-19	1884-10-11		
luffhe01	Harry	Luff	1875-04-19	1884-07-05		
mckeljo01	John	McKelvey	1875-04-19	1875-10-28		
nichotr01	Tricky	Nichols	1875-04-19	1882-07-11		
wrighsa01	Sam	Wright	1875-04-19	1881-09-23		
mcginti01	Tim	McGinley	1875-04-21	1876-05-15		
somered01	Ed	Somerville	1875-04-21	1876-10-05		
trenwge01	George	Trenwith	1875-04-21	1875-10-28		
warnefr01	Fred	Warner	1875-04-21	1884-09-11		
richmjo01	John	Richmond	1875-04-22	1885-07-10		
cassijo01	John	Cassidy	1875-04-24	1885-08-12		
nichoal01	Al	Nichols	1875-04-24	1877-09-26		
abadijo01	John	Abadie	1875-04-26	1875-06-10		
crowlbi01	Bill	Crowley	1875-04-26	1885-10-10		
gilmoji01	Thomas	Gilmore	1875-04-26	1875-05-01		
masonch01	Charlie	Mason	1875-04-26	1883-07-04		
parksbi01	Bill	Parks	1875-04-26	1876-04-22		
resslla01	Larry	Ressler	1875-04-26	1875-07-04		
terry01	Walter	Terry	1875-04-26	1875-05-05		
thompfr01	Frank	Thompson	1875-04-26	1875-09-11		
dailejo01	John	Dailey	1875-04-29	1875-07-19		
booth01		Booth	1875-05-01	1875-05-01		
blongjo01	Joe	Blong	1875-05-04	1877-10-06		
bradlge01	George	Bradley	1875-05-04	1888-08-08		
croftar01	Art	Croft	1875-05-04	1878-09-13		
dillopa01	Packy	Dillon	1875-05-04	1875-05-08		
flintsi01	Silver	Flint	1875-05-04	1889-07-18		
goldemi01	Mike	Golden	1875-05-04	1878-09-14		
haguebi01	Bill	Hague	1875-05-04	1879-08-15		
hautzch01	Charlie	Hautz	1875-05-04	1884-09-04		
jonesch01	Charley	Jones	1875-05-04	1888-04-26		
keerlge01	George	Keerl	1875-05-04	1875-06-14		
morgapi01	Pidgey	Morgan	1875-05-04	1878-06-22		
oranto01	Tom	Oran	1875-05-04	1875-07-04		
redmobi01	Billy	Redmond	1875-05-04	1878-09-14		
rileybi01	Billy	Riley	1875-05-04	1879-09-30		
